Palabra                  Frecuencia     Longitud  
lumpy                    1              5         
luncheon                 1              8         
lunge                    1              5         
lungs                    2              5         
luscious                 2              8         
lush                     1              4         
lv                       2              2         
lvi                      2              3         
lvii                     2              4         
lviii                    2              5         
lying                    3              5         
lynx                     41             4         
lynxes                   1              6         
lynx—away                1              9         
lynx’s                   1              6         
machinereadable          1              15        
mad                      4              3         
madam                    2              5         
made                     43             4         
madly                    2              5         
main                     1              4         
maintaining              1              11        
mairi                    1              5         
make                     37             4         
makes                    3              5         
making                   12             6         
maltese                  1              7         
mammoth                  1              7         
mammy                    23             5         
mammy’s                  1              7         
mammy”                   1              6         
man                      13             3         
manage                   1              6         
managed                  2              7         
manager                  1              7         
managing                 1              8         
manner                   2              6         
manscent                 1              8         
many                     14             4         
manœuvre                 1              8         
man”                     1              4         
maple                    14             5         
maples                   1              6         
march                    1              5         
marked                   2              6         
marsh                    2              5         
mass                     4              4         
massachusetts            2              13        
match                    10             5         
matches                  1              7         
matter                   8              6         
maximum                  1              7         
may                      20             3         
me                       13             2         
meadow                   4              6         
meal                     9              4         
meal—he                  1              7         
mean                     5              4         
meaning                  1              7         
means                    6              5         
meant                    8              5         
meantime                 5              8         
measured                 1              8         
meat                     2              4         
medicine                 1              8         
medium                   5              6         
meet                     3              4         
meeting                  1              7         
meets                    3              5         
members                  1              7         
memory                   4              6         
men                      3              3         
mending                  1              7         
merchantability          1              15        
mere                     4              4         
merrily                  1              7         
merrymakers              2              11        
met                      4              3         
meteorology              1              11        
method                   2              6         
methods                  1              7         
mettle                   3              6         
me—just                  1              7         
me”                      5              3         
mice                     7              4         
michael                  1              7         
midair                   2              6         
middleaged               1              10        
midst                    2              5         
midstream                1              9         
might                    27             5         
mighty                   10             6         
mildlooking              1              11        
miles                    1              5         
milton                   3              6         
mimicked                 1              8         
mind                     16             4         
minded                   4              6         
minds                    1              5         
minds”                   1              6         
mingled                  1              7         
minute                   7              6         
minutes                  4              7         
minute”                  1              7         
miraculously             1              12        
mirror                   1              6         
mischief                 4              8         
mischievous              2              11        
mischievously            2              13        
missed                   2              6         
mission                  4              7         
mississippi              1              11        
mistake                  2              7         
mistaken                 1              8         
mite                     1              4         
mixed                    1              5         
modification             1              12        
modified                 1              8         
moisture                 1              8         
molest                   1              6         
moment                   23             6         
money                    3              5         
monotonous               2              10        
monster                  1              7         
months                   7              6         
mood                     2              4         
moon                     7              4         
moonbeam                 1              8         
moonlight                8              9         
moonlight”               1              10        
moonlit                  2              7         
more                     55             4         
moreover                 1              8         
more—they                1              9         
morning                  8              7         
morning”                 1              8         
moss                     1              4         
mosses                   1              6         
moss”                    1              5         
most                     31             4         
mostly                   1              6         
mother                   133            6         
mothers                  1              7         
mother—pulling           1              14        
mother—those             1              12        
mother’s                 8              8         
mother”                  5              7         
mottled                  1              7         
mount                    11             5         
mountain                 3              8         
mountainside             4              12        
mounts                   1              6         
mouse                    8              5         
mouth                    16             5         
mouthful                 1              8         
move                     9              4         
moved                    3              5         
moves                    1              5         
mr                       3              2         
mrs                      33             3         
mt                       2              2         
much                     41             4         
mud                      3              3         
muddy                    1              5         
munching                 1              8         
murderously              1              11        
muscle                   1              6         
muscles                  3              7         
mused                    1              5         
mushrooms                2              9         
musically                1              9         
muskrats                 1              8         
must                     22             4         
muttering                1              9         
muzzles                  1              7         
my                       14             2         
myself                   3              6         
myself”                  1              7         
mystery                  1              7         
nail                     1              4         
nails                    1              5         
naked                    2              5         
nakedness                1              9         
name                     1              4         
named                    1              5         
nape                     1              4         
napping                  1              7         
narrow                   3              6         
nasal                    1              5         
natural                  4              7         
nature                   1              6         
nay                      1              3         
near                     20             4         
neared                   1              6         
nearer                   11             6         
nearest                  6              7         
nearly                   10             6         
nearsighted              3              11        
near”                    1              5         
neat                     1              4         
necessarily              1              11        
necessary                1              9         
neck                     5              4         
neckhigh                 1              8         
need                     7              4         
needed                   6              6         
needle                   3              6         
needles                  6              7         
needles—the              1              11        
negligence               1              10        
neighbor                 2              8         
neighboring              1              11        
neighbors                5              9         
neither                  2              7         
nerve                    4              5         
nerves                   2              6         
nervously                2              9         
nervousness              1              11        
nest                     10             4         
nether                   1              6         
network                  1              7         
never                    52             5         
new                      13             3         
newcomers                1              9         
newfoundland             1              12        
newsletter               1              10        
next                     19             4         
nibble                   3              6         
nibbled                  3              7         
nibbling                 1              8         
nice                     2              4         
nicely                   1              6         
niches                   1              6         
night                    9              5         
nightfall                1              9         
night—he                 1              8         
nipped                   1              6         
nipping                  1              7         
no                       105            2         
nodding                  2              7         
noise                    2              5         
noiselessly              3              11        
noisily                  1              7         
none                     8              4         
nonplussed               1              10        
nonprofit                1              9         
nonproprietary           1              14        
nonstandard              1              11        
nor                      3              3         
north                    4              5         
nose                     35             4         
noses                    4              5         
nostrils                 4              8         
not                      162            3         
notching                 1              8         
note                     1              4         
notes                    3              5         
nothing                  33             7         
notice                   5              6         
noticed                  1              7         
notifies                 1              8         
not—on                   1              6         
not”                     3              4         
now                      76             3         
nowhere                  1              7         
now—listen               1              10        
now—much                 1              8         
now”                     4              4         
number                   4              6         
nurse                    2              5         
nuts                     3              4         
oak                      5              3         
oaks                     3              4         
oak”                     1              4         
oar                      3              3         
oars                     1              4         
obedience                1              9         
obediently               1              10        
obsolete                 1              8         
obtain                   3              6         
obtaining                2              9         
occasional               1              10        
occasionally             1              12        
occupy                   1              6         
occupying                1              9         
occur                    1              5         
october                  2              7         
oddly                    1              5         
odor                     13             4         
odors                    1              5         
of                       759            2         
off                      44             3         
offender                 1              8         
offensive                1              9         
offers                   1              6         
office                   1              6         
official                 3              8         
off”                     1              4         
often                    7              5         
of—                      1              3         
of”                      1              3         
oh                       5              2         
olaf                     12             4         
olaf—was                 1              8         
old                      31             3         
older                    1              5         
ominous                  1              7         
on                       229            2         
once                     41             4         
once”                    1              5         
one                      146            3         
ones                     3              4         
oneself                  1              7         
ones—he                  1              7         
one—had                  1              7         
one—the                  1              7         
one’s                    4              5         
one”                     2              4         
online                   5              6         
only                     38             4         
only—we                  1              7         
on”                      2              3         
oozing                   1              6         
open                     11             4         
opened                   1              6         
opening                  6              7         
opportunities            1              13        
opportunity              2              11        
opposite                 9              8         
or                       107            2         
orchard                  1              7         
order                    3              5         
organized                1              9         
original                 2              8         
originator               1              10        
other                    59             5         
others                   4              6         
otherwise                2              9         
other’s                  2              7         
ought                    1              5         
our                      19             3         
ourselves                1              9         
ours”                    1              5         
out                      116            3         
outdated                 1              8         
outdoor                  1              7         
outer                    1              5         
outlook                  1              7         
outpost                  1              7         
outposts                 3              8         
outrageous               1              10        
outrun                   1              6         
outside                  2              7         
outsped                  1              7         
over                     51             4         
overalls                 1              8         
overgrown                1              9         
overhanging              2              11        
overhead                 2              8         
overhung                 1              8         
overlook                 1              8         
overturned               2              10        
owed                     1              4         
owl                      4              3         
owls                     2              4         
own                      17             3         
owner                    6              5         
owners                   1              6         
owns                     2              4         
o’nights                 1              8         
pace                     1              4         
pacifist’s               1              10        
packed                   1              6         
pad                      1              3         
padded                   8              6         
padding                  1              7         
paddled                  1              7         
paddling                 4              8         
paddy                    4              5         
pads                     4              4         
page                     4              4         
pages                    1              5         
paid                     7              4         
pain                     4              4         
painful                  1              7         
painfully                1              9         
pain”                    1              5         
pair                     2              4         
palm                     1              4         
pan                      1              3         
pang                     1              4         
pangs                    1              5         
panting                  2              7         
paper                    3              5         
paperwork                1              9         
paragraph                11             9         
paragraphs               3              10        
paralyze                 1              8         
parched                  2              7         
parents                  1              7         
part                     18             4         
particular               4              10        
particularly             2              12        
parts                    2              5         
party                    1              5         
pass                     3              4         
passed                   2              6         
passenger                1              9         
passing                  4              7         
past                     4              4         
pasted                   1              6         
pasture                  1              7         
patch                    3              5         
patches                  2              7         
path                     2              4         
patiently                1              9         
patting                  1              7         
pause                    1              5         
paused                   2              6         
pausing                  1              7         
paw                      27             3         
pawfuls                  1              7         
paws                     12             4         
paw—though               1              10        
pay                      1              3         
paying                   3              6         
payments                 3              8         
peace                    6              5         
peacefully               1              10        
peck                     1              4         
pecks                    1              5         
peculiar                 3              8         
peer                     3              4         
peered                   7              6         
peering                  4              7         
peg                      2              3         
pelting                  3              7         
penetrate                1              9         
people                   10             6         
people’s                 3              8         
perched                  1              7         
perfectly                6              9         
perform                  1              7         
performances             1              12        
performed                1              9         
performing               3              10        
perfume                  1              7         
perhaps                  4              7         
peril                    7              5         
periodic                 1              8         
permanent                1              9         
permission               6              10        
permitted                2              9         
perpetual                1              9         
persistence              1              11        
persistent               1              10        
person                   8              6         
persuade                 1              8         
pet                      1              3         
peter                    2              5         
pg                       1              2         
pglaf                    1              5         
phrase                   4              6         
physical                 2              8         
picked                   2              6         
picking                  1              7         
pierced                  1              7         
piggish                  1              7         
pincushion               1              10        
pincushiony              1              11        
pine                     23             4         
pines                    1              5         
pine—a                   1              6         
pink                     4              4         
pipe                     1              4         
pity                     1              4         
pityingly                1              9         
place                    23             5         
places                   6              6         
plague                   1              6         
plain                    1              5         
plainly                  2              7         
plan                     5              4         
planned                  1              7         
plans                    1              5         
planted                  1              7         
plastered                1              9         
play                     5              4         
playing                  4              7         
plays                    2              5         
pleaded                  1              7         
pleasant                 1              8         
please                   5              6         
pleasure                 4              8         
plenty                   1              6         
plodding                 1              8         
plop                     1              4         
plots                    2              5         
plotted                  2              7         
plowed                   1              6         
plump                    1              5         
plumy                    1              5         
plunge                   2              6         
plunged                  5              7         
plunk                    1              5         
pocket                   2              6         
point                    4              5         
pointed                  2              7         
points                   2              6         
poised                   1              6         
poison                   2              6         
poisonous                2              9         
poking                   2              6         
pole                     2              4         
politely                 1              8         
pollywog                 16             8         
pond                     45             4         
pond”                    1              5         
pool                     5              4         
pools                    1              5         
poor                     5              4         
poplars                  1              7         
popped                   1              6         
popping                  1              7         
porcupine                59             9         
porcupines               12             10        
porcupine—unless         1              16        
porcupine”               2              10        
position                 4              8         
possessed                1              9         
possession               1              10        
possibility              1              11        
possible                 4              8         
possibly                 3              8         
posted                   5              6         
pounds                   1              6         
poured                   3              6         
pouring                  1              7         
powerful                 2              8         
practically              1              11        
praise                   1              6         
pranced                  1              7         
prancing                 1              8         
prank                    1              5         
pranks                   2              6         
preceding                1              9         
precious                 1              8         
preferred                2              9         
preferring               1              10        
prepare                  2              7         
prepared                 3              8         
presence                 4              8         
presented                1              9         
presently                1              9         
preserve                 1              8         
pretended                1              9         
pretending               1              10        
pretty                   5              6         
prevent                  2              7         
previous                 1              8         
prick                    1              5         
pricked                  3              7         
prickles                 1              8         
prickly                  8              7         
pride                    3              5         
print                    1              5         
printed                  2              7         
prisoners                1              9         
probable                 1              8         
probably                 3              8         
problem                  2              7         
proceeded                1              9         
processing               1              10        
produce                  1              7         
produced                 2              8         
production               1              10        
professor                1              9         
profits                  1              7         
prohibition              1              11        
project                  83             7         
prominently              2              11        
promise                  1              7         
promised                 2              8         
promoting                2              9         
promotion                1              9         
promptly                 1              8         
proofread                1              9         
proofreading             1              12        
property                 2              8         
proportion               1              10        
proposed                 1              8         
proprietary              1              11        
prospects                1              9         
protect                  4              7         
protected                6              9         
protest                  1              7         
protested                1              9         
protruding               1              10        
proud                    1              5         
prove                    1              5         
provide                  7              7         
provided                 5              8         
providing                4              9         
provision                1              9         
provisions               1              10        
provoked                 1              8         
prowler                  1              7         
prowling                 1              8         
public                   3              6         
publication              1              11        
puff                     1              4         
puffing                  1              7         
puffy                    1              5         
pull                     3              4         
pulled                   2              6         
pulling                  1              7         
pummeled                 1              8         
punched                  1              7         
punching                 1              8         
pungent                  1              7         
punish                   2              6         
punishing                2              9         
punitive                 1              8         
pup                      2              3         
puppies’                 1              8         
puppy                    2              5         
pups                     4              4         
pure                     1              4         
purpose                  3              7         
purposes                 1              8         
pursued                  1              7         
pursuer                  1              7         
pushed                   1              6         
put                      8              3         
pye                      1              3         
quailed                  1              7         
quality                  1              7         
quarrel                  2              7         
quarry                   2              6         
quarter                  1              7         
quarters                 2              8         
quavered                 1              8         
queer                    2              5         
quench                   1              6         
question                 1              8         
quick                    6              5         
quicker                  3              7         
quickly                  1              7         
quick”                   2              6         
quiet                    2              5         
quill                    3              5         
quilled                  2              7         
quills                   24             6         
quills—and               1              10        
quills—as                1              9         
quills”                  1              7         
quilly                   1              6         
quite                    19             5         
rabbit                   9              6         
rabbits                  3              7         
race                     1              4         
raced                    7              5         
racing                   3              6         
racket                   1              6         
raft                     2              4         
raged                    2              5         
ragged                   1              6         
rain                     6              4         
raindrops                1              9         
raised                   4              6         
ram                      1              3         
rambles                  1              7         
ran                      4              3         
rapid                    2              5         
rapidly                  1              7         
rascal                   3              6         
rascal”                  5              7         
rash                     2              4         
rate                     2              4         
rather                   8              6         
rattle                   2              6         
rattled                  2              7         
rattling                 6              8         
ravenous                 2              8         
ravine                   1              6         
rays                     1              4         
reach                    14             5         
reached                  9              7         
reaching                 2              8         
reaction                 1              8         
read                     4              4         
readable                 1              8         
reader                   2              6         
readers                  1              7         
readily                  1              7         
reading                  3              7         
ready                    7              5         
realization              1              11        
realize                  1              7         
realized                 1              8         
really                   21             6         
rear                     1              4         
reason                   3              6         
reasonable               1              10        
reasoned                 2              8         
receipt                  2              7         
receive                  2              7         
received                 8              8         
receiving                1              9         
recent                   1              6         
recklessly               1              10        
reckoned                 1              8         
red                      48             3         
redbreast                1              9         
redbrown                 4              8         
redhot                   2              6         
redistribute             1              12        
redistributing           2              14        
redistribution           2              14        
references               2              10        
refresh                  1              7         
refugees                 4              8         
refund                   9              6         
refund”                  1              7         
refused                  1              7         
refusing                 1              8         
regain                   1              6         
regardless               1              10        
region                   1              6         
registered               2              10        
regulating               1              10        
release                  1              7         
relief                   1              6         
relish                   1              6         
remain                   1              6         
remaining                3              9         
remedies                 1              8         
remember                 2              8         
remembered               5              10        
reminded                 1              8         
reminding                1              9         
remove                   2              6         
removed                  2              7         
renamed                  1              7         
replace                  1              7         
replacement              5              11        
reported                 1              8         
reports                  1              7         
representations          1              15        
request                  1              7         
require                  1              7         
required                 1              8         
requirements             4              12        
rescue                   7              6         
research                 2              8         
reserved                 1              8         
resist                   1              6         
resisting                1              9         
resolution               2              10        
resounding               1              10        
respect                  1              7         
response                 1              8         
rest                     6              4         
resting                  1              7         
restlessly               1              10        
restrictions             2              12        
result                   4              6         
resumed                  2              7         
retain                   1              6         
retained                 1              8         
retorted                 1              8         
retreating               1              10        
return                   4              6         
returned                 1              8         
returning                2              9         
returns                  1              7         
reuse                    2              5         
reveal                   1              6         
revenue                  1              7         
revised                  1              7         
ribs                     2              4         
richard                  1              7         
ride                     1              4         
riffles                  1              7         
right                    34             5         
righteous                1              9         
rights                   2              6         
right”                   2              6         
rim                      1              3         
ring                     1              4         
ringed                   1              6         
ripe                     2              4         
ripened                  1              7         
ripple                   1              6         
rise                     2              4         
risen                    1              5         
rising                   1              6         
risk                     2              4         
risked                   1              6         
river                    21             5         
river’s                  4              7         
road                     5              4         
roadway                  1              7         
roamed                   1              6         
roared                   1              6         
rob                      2              3         
robbed                   1              6         
robbing                  1              7         
robin                    1              5         
robinson                 1              8         
rock                     1              4         
rocks                    1              5         
rocky                    3              5         
rods                     1              4         
roiled                   1              6         
roll                     2              4         
rolled                   9              6         
rollicking               1              10        
rolling                  9              7         
rolypoly                 6              8         
roof                     2              4         
room                     3              4         
root                     3              4         
roots                    5              5         
rope                     1              4         
rose                     6              4         
rotten                   2              6         
rough                    1              5         
round                    17             5         
rounded                  5              7         
roundest                 1              8         
rounds                   1              6         
rowboat                  3              7         
rowed                    1              5         
royalties                3              9         
royalty                  3              7         
rubbed                   3              6         
rubber                   5              6         
rubbing                  1              7         
ruefully                 1              8         
ruffled                  2              7         
ruin                     1              4         
rule                     1              4         
rules                    1              5         
rumbled                  4              7         
rumbling                 1              8         
rumbly                   1              6         
run                      9              3         
running                  3              7         
runs                     1              4         
rustling                 2              8         
s                        1              1         
sacks                    1              5         
sadder                   1              6         
safe                     8              4         
safely                   3              6         
safety                   6              6         
said                     33             4         
sail                     1              4         
salt                     1              4         
same                     17             4         
sang                     2              4         
sank                     2              4         
sap                      1              3         
sapling                  3              7         
sat                      11             3         
satisfied                1              9         
saucy                    2              5         
sauntered                1              9         
save                     8              4         
saved                    1              5         
saw                      18             3         
say                      9              3         
saying                   1              6         
scalawag”                1              9         
scales                   1              6         
scalp                    1              5         
scamp                    1              5         
scampering               1              10        
scarce                   4              6         
